"country_or_area","labour_force_participation_rate_female_percent","labour_force_participation_rate_male_percent","percent_ever_married_female_aged_15_19","percent_ever_married_male_aged_15_19","mean_age_at_marriage_female","mean_age_at_marriage_male","contraceptive_prevalence_rate_any_method_percent","womens_share_of_tertiary_enrolment_percent","womens_share_of_labour_force_percent","adult_literacy_rate_male_percent","adult_literacy_rate_female_percent","abortion_rate_per_1000_women","total_fertility_rate_per_woman"
"Albania","57.1","82.8","9.6","0.9","22.9","27","57.5","60","39.4","99.2","98.3","9.6","3.1"
"Azerbaijan","62.3","77.3","7.5","1.1","23.9","27","55.1","39","47.1","99.5","98.2","9","3"
"Bahrain","22.9","88.7","6.7","0.5","25.6","28.4","61.8","62","13.9","88.5","76.9","11","4.1"
"Belarus","61.7","77.1","8.1","1.6","22.8","25.4","50.4","56","49.1","99.4","96.6","31.7","2"
"Brazil","41.3","85.6","16.5","3.3","23.4","25.4","76.7","56","33.1","86.2","86.5","0","3.1"
"Bulgaria","60.3","71.5","16.5","3.1","21.1","24.9","85.9","59","46.5","98.7","97.7","21.3","1.9"
"China","71.8","86","4.2","1.4","23.1","24.8","83.4","44","44","87","68.1","24.2","2.5"
"Dominican Republic","32.6","85","21.9","4.3","21.3","25.6","56.4","61","27.3","86.8","87.2","16","3.5"
"India","36.5","85.6","35.7","9.5","19.9","24.9","40.7","38","28.1","61.6","33.7","3.1","4.2"
"Italy","33.5","67.6","0.9","0.1","28.4","31.5","60.2","55","35","98.8","98","10.6","1.3"
"Kazakhstan","61.8","78.8","8.9","1.5","23.4","26.1","59.1","57","46.9","99.1","96.1","35","3"
"Kyrgyzstan","60.3","75.9","10.9","1.1","21.9","25","59.5","51","46.8","99.3","98.1","15.8","4"
"Latvia","64.4","78.1","8.4","2.7","26.9","29","48","62","50.3","99.8","99.2","27.3","2.1"
"Lithuania","62","75.6","6.5","2.2","24.8","26.9","46.6","60","49.1","99.2","97.8","13.9","2.1"
"Mexico","33.1","83","15.8","5.3","22.7","25","66.5","48","29.4","90.3","85","0.1","3.6"
"Mongolia","53.3","81","5.6","1.3","23.7","25.7","64.6","65","39.9","98","97.5","21.7","4.8"
"Qatar","27.1","93.1","14.4","3.7","26.3","28.7","43.2","72","9.6","76.8","72.5","1.2","4.7"
"Republic of Moldova","64.1","76.3","11.6","1.7","21.1","23.8","73.7","56","49.4","98.6","94.4","17.6","2.6"
"Romania","54.9","71.1","8.8","0.7","24.1","27.4","57.3","51","44.8","98.5","95","27.8","2.3"
"Russian Federation","61.6","79","10.9","2.5","21.8","24.4","62.5","57","48.7","99.5","96.8","53.7","2.1"
"Slovenia","55.6","72.7","2.1","0.5","29.8","32","73.8","56","45.9","99.6","99.5","15.2","1.7"
"South Africa","56.2","78.4","5.2","0.9","27.9","30.3","56.3","54","42.4","84.1","80.9","4.5","3.9"
"Spain","28.7","72","3.7","1","26","28.4","80.9","53","29.9","98","95.1","8.3","1.5"
"Tajikistan","56.5","75.1","11.5","1.2","21.2","23.4","33.9","25","43.9","98.8","96.6","12.6","5.4"
"Tunisia","19.7","77.7","3","0","26.6","30.3","60","48","20.1","83.4","65.3","8.6","4.1"
